avg_goals_rank,home_adv_rank,country,league,num_games,num_teams,avg_goals,home_advantage_score,left_tail,right_tail,countryCode
90,76,Ukraine,Pari-Match League 2016/2017,132,12,2.462121212121212,0.24100000000000002,0.022000000000000002,0.46,UKR
91,108,Mauritania,Championnat D1 2016/2017,181,14,2.453038674033149,0.149,-0.038,0.336,MRT
92,63,Palestine,West Bank League 2016/2017,131,12,2.450381679389313,0.287,0.066,0.508,PSX
93,66,Brazil,Serie A 2017,380,20,2.4289473684210527,0.281,0.151,0.41200000000000003,BRA
94,99,Lesotho,Premier League 2016/2017,180,14,2.4277777777777776,0.18,-0.009000000000000001,0.368,LSO
95,149,Latvia,SynotTip Virslīga 2017,96,8,2.4166666666666665,-0.006,-0.264,0.251,LVA
95,26,Croatia,1. HNL 2016/2017,180,10,2.4166666666666665,0.396,0.204,0.588,HRV
97,57,Namibia,MTC Premiership 2015/2016,240,16,2.4125,0.304,0.139,0.469,NAM
98,139,Cape Verde,Campeonato Nacional 2017,36,12,2.388888888888889,0.047,-0.376,0.469,CPV
99,28,Kosovo,Superliga 2016/2017,196,12,2.38265306122449,0.386,0.2,0.5710000000000001,KOS
100,47,Portugal,Primeira Liga 2016/2017,306,18,2.3790849673202614,0.327,0.18,0.474,PRT
101,82,Romania,Liga 1 2016/2017,181,14,2.3756906077348066,0.223,0.033,0.413,ROU
102,62,Serbia,Super Liga 2016/2017,239,16,2.3640167364016738,0.29,0.124,0.457,SRB
103,156,Pakistan,Premier League 2014/2015,132,12,2.3333333333333335,-0.065,-0.28800000000000003,0.159,PAK
103,133,Belarus,Vysshaya Liga 2017,240,16,2.3333333333333335,0.071,-0.094,0.237,BLR
105,31,Malawi,Super League 2017,239,16,2.3305439330543933,0.37200000000000005,0.203,0.541,MWI
106,53,Yemen,Division 1 2013/2014,180,14,2.3222222222222224,0.308,0.114,0.503,YEM
107,114,Botswana,Premier League 2016/2017,240,16,2.316666666666667,0.14400000000000002,-0.023,0.311,BWA
107,14,Greece,Super League 2016/2017,240,16,2.316666666666667,0.499,0.32799999999999996,0.6709999999999999,GRC
109,65,Gabon,Championnat D1 2016/2017,163,14,2.3067484662576687,0.282,0.077,0.486,GAB
110,88,Argentina,Primera Division 2016/2017,450,30,2.2755555555555556,0.195,0.071,0.318,ARG
111,150,Libya,Premier League 2017,83,28,2.2650602409638556,-0.015,-0.324,0.293,LBY
112,17,Sudan,Premier League 2017,306,18,2.261437908496732,0.486,0.332,0.639,SDN
113,119,Egypt,Premier League 2016/2017,305,18,2.2557377049180327,0.122,-0.027000000000000003,0.272,EGY
114,157,Liberia,LFA First Division 2016/2017,125,12,2.248,-0.08900000000000001,-0.32299999999999995,0.145,LBR
115,81,Bosnia and Herzegovina,Premier League 2016/2017,132,12,2.242424242424242,0.231,0.001,0.46,BIH
116,48,South Africa,Premier League 2016/2017,240,16,2.2416666666666667,0.322,0.151,0.494,ZAF
117,74,Republic of the Congo,Ligue 1 2017,300,18,2.236666666666667,0.244,0.091,0.397,COG
118,154,Jordan,Premier League 2016/2017,132,12,2.234848484848485,-0.034,-0.262,0.19399999999999998,JOR
119,40,Azerbaijan,Premier League 2016/2017,111,8,2.234234234234234,0.34600000000000003,0.094,0.599,AZE
120,23,Morocco,Botola Pro 2016/2017,240,16,2.2291666666666665,0.405,0.23199999999999998,0.578,MAR
121,86,DR Congo,Super Ligue 2016/2017,195,26,2.2051282051282053,0.198,0.006,0.391,COD
122,39,Senegal,Ligue 1 2016/2017,181,14,2.2044198895027622,0.348,0.149,0.547,SEN
123,3,Ghana,Premier League 2017,238,16,2.2016806722689077,0.6759999999999999,0.494,0.857,GHA
124,144,Armenia,Premier League 2016/2017,90,6,2.2,0.02,-0.258,0.299,ARM
125,44,Jamaica,Premier League 2016/2017,198,12,2.191919191919192,0.336,0.145,0.527,JAM
126,87,Syria,Premier League 2016/2017,239,16,2.1799163179916317,0.19699999999999998,0.025,0.37,SYR
127,59,Niger,Ligue 1 2016/2017,181,14,2.1712707182320443,0.301,0.10099999999999999,0.502,NER
128,5,Guatemala,Liga Nacional 2016/2017,264,12,2.1553030303030303,0.62,0.44799999999999995,0.792,GTM
129,13,Angola,Girabola 2017,239,16,2.1506276150627617,0.499,0.321,0.6779999999999999,AGO
130,22,Colombia,Liga Aguila 2017,400,20,2.145,0.40700000000000003,0.214,0.599,COL
131,89,Burundi,Ligue A 2016/2017,239,16,2.1380753138075312,0.192,0.018000000000000002,0.366,BDI
132,50,Uganda,Premier League 2016/2017,237,16,2.1350210970464136,0.313,0.13699999999999998,0.49,UGA
133,101,Rwanda,National Football league 2016/2017,239,16,2.1338912133891212,0.174,-0.001,0.348,RWA
134,35,Russia,Premier League 2016/2017,240,16,2.1333333333333333,0.363,0.187,0.539,RUS
135,113,Israel,Ligat ha'Al 2016/2017,182,14,2.131868131868132,0.145,-0.055,0.344,ISR
136,60,Iraq,Super League 2016/2017,354,20,2.110169491525424,0.299,0.153,0.446,IRQ
137,116,Iran,Persian Gulf Pro League 2016/2017,240,16,2.1,0.135,-0.04,0.31,IRN
138,15,Tunisia,Ligue Professionnelle 1 2016/2017,112,16,2.0982142857142856,0.495,0.231,0.759,TUN
139,2,Algeria,Ligue 1 2016/2017,238,16,2.092436974789916,0.698,0.512,0.884,DZA
140,145,Panama,LPF 2016/2017,180,10,2.0833333333333335,0.005,-0.19699999999999998,0.20800000000000002,PAN
141,51,Guinea,Ligue 1 2016/2017,181,14,2.044198895027624,0.312,0.105,0.519,GIN
142,134,Mali,Premiere Division 2016,162,19,2.0308641975308643,0.064,-0.153,0.281,MLI
